Date,Open,High,Low,Close,Adj Close,Volume
2002-08-01,0.051800,0.051800,0.051800,0.051800,-0.078289,0
2002-08-02,null,null,null,null,null,null
2002-08-05,0.047810,0.047810,0.047810,0.047810,-0.072258,0
2002-08-06,0.046490,0.046490,0.046490,0.046490,-0.070263,0
2002-08-07,null,null,null,null,null,null
2002-08-08,0.046490,0.046490,0.046490,0.046490,-0.070263,0
2002-08-09,null,null,null,null,null,null
2002-08-12,0.052240,0.042060,0.042060,0.042060,-0.063568,0
2002-08-13,null,null,null,null,null,null
2002-08-14,0.052240,0.042060,0.042060,0.042060,-0.063568,0
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,0.052240,0.038070,0.038070,0.038070,-0.057538,0
2002-08-20,null,null,null,null,null,null
2002-08-21,0.039840,0.039840,0.039840,0.039840,-0.060213,0
2002-08-22,0.052240,0.040730,0.040730,0.040730,-0.061558,0
2002-08-23,null,null,null,null,null,null
2002-08-26,null,null,null,null,null,null
2002-08-27,null,null,null,null,null,null
2002-08-28,0.043830,0.043830,0.043830,0.043830,-0.066243,0
2002-08-29,0.052240,0.044270,0.044270,0.044270,-0.066908,0
2002-08-30,null,null,null,null,null,null
2002-09-03,null,null,null,null,null,null
2002-09-04,null,null,null,null,null,null
2002-09-05,0.052240,0.043390,0.043390,0.043390,-0.065578,0
2002-09-06,null,null,null,null,null,null
2002-09-09,0.052240,0.042060,0.042060,0.042060,-0.063568,0
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
2002-09-12,null,null,null,null,null,null
2002-09-13,null,null,null,null,null,null
2002-09-16,0.040730,0.040730,0.040730,0.040730,-0.061558,0
2002-09-17,0.038520,0.038520,0.038520,0.038520,-0.058218,0
2002-09-18,0.039400,0.039400,0.039400,0.039400,-0.059548,0
2002-09-19,0.052240,0.040290,0.040290,0.040290,-0.060893,0
2002-09-20,null,null,null,null,null,null
2002-09-23,null,null,null,null,null,null
2002-09-24,null,null,null,null,null,null
2002-09-25,null,null,null,null,null,null
2002-09-26,null,null,null,null,null,null
2002-09-27,null,null,null,null,null,null
2002-09-30,0.052240,0.039400,0.039400,0.039400,-0.059548,0
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,0.052240,0.039400,0.039400,0.039400,-0.059548,0
2002-10-09,null,null,null,null,null,null
2002-10-10,0.052240,0.040290,0.040290,0.040290,-0.060893,0
2002-10-11,null,null,null,null,null,null
2002-10-14,0.040290,0.040290,0.040290,0.040290,-0.060893,0
2002-10-15,0.052240,0.040290,0.040290,0.040290,-0.060893,0
2002-10-16,null,null,null,null,null,null
2002-10-17,0.052240,0.040290,0.040290,0.040290,-0.060893,0
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,0.042060,0.042060,0.042060,0.042060,-0.063568,0
2002-10-23,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2002-11-05,null,null,null,null,null,null
2002-11-06,0.052240,0.038960,0.038960,0.038960,-0.058883,0
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,0.040730,0.040730,0.040730,0.040730,-0.061558,0
2002-11-12,0.039840,0.039840,0.039840,0.039840,-0.060213,0
2002-11-13,0.039840,0.039840,0.039840,0.039840,-0.060213,0
2002-11-14,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2002-11-15,null,null,null,null,null,null
2002-11-18,null,null,null,null,null,null
2002-11-19,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2002-11-20,null,null,null,null,null,null
2002-11-21,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2002-11-22,null,null,null,null,null,null
2002-11-25,0.042940,0.042940,0.042940,0.042940,-0.064898,0
2002-11-26,0.042940,0.042940,0.042940,0.042940,-0.064898,0
2002-11-27,0.042060,0.042060,0.042060,0.042060,-0.063568,0
2002-11-29,null,null,null,null,null,null
2002-12-02,0.042060,0.042060,0.042060,0.042060,-0.063568,0
2002-12-03,0.052240,0.042060,0.042060,0.042060,-0.063568,0
2002-12-04,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2002-12-05,null,null,null,null,null,null
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,null,null,null,null,null,null
2002-12-11,null,null,null,null,null,null
2002-12-12,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2002-12-13,null,null,null,null,null,null
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,null,null,null,null,null,null
2002-12-20,null,null,null,null,null,null
2002-12-23,null,null,null,null,null,null
2002-12-24,null,null,null,null,null,null
2002-12-26,0.052240,0.039400,0.039400,0.039400,-0.059548,0
2002-12-27,null,null,null,null,null,null
2002-12-30,0.052240,0.038960,0.038960,0.038960,-0.058883,0
2002-12-31,null,null,null,null,null,null
2003-01-02,null,null,null,null,null,null
2003-01-03,null,null,null,null,null,null
2003-01-06,0.038520,0.038520,0.038520,0.038520,-0.058218,0
2003-01-07,0.041620,0.041620,0.041620,0.041620,-0.062903,0
2003-01-08,0.043830,0.043830,0.043830,0.043830,-0.066243,0
2003-01-09,0.052240,0.042940,0.042940,0.042940,-0.064898,0
2003-01-10,null,null,null,null,null,null
2003-01-13,null,null,null,null,null,null
2003-01-14,null,null,null,null,null,null
2003-01-15,null,null,null,null,null,null
2003-01-16,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2003-01-17,null,null,null,null,null,null
2003-01-21,0.042060,0.042060,0.042060,0.042060,-0.063568,0
2003-01-22,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2003-01-23,null,null,null,null,null,null
2003-01-24,null,null,null,null,null,null
2003-01-27,null,null,null,null,null,null
2003-01-28,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2003-01-29,null,null,null,null,null,null
2003-01-30,0.052240,0.042060,0.042060,0.042060,-0.063568,0
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,null,null,null,null,null,null
2003-02-11,null,null,null,null,null,null
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-18,null,null,null,null,null,null
2003-02-19,0.039400,0.039400,0.039400,0.039400,-0.059548,0
2003-02-20,0.052240,0.039400,0.039400,0.039400,-0.059548,0
2003-02-21,null,null,null,null,null,null
2003-02-24,null,null,null,null,null,null
2003-02-25,null,null,null,null,null,null
2003-02-26,null,null,null,null,null,null
2003-02-27,0.052240,0.039400,0.039400,0.039400,-0.059548,0
2003-02-28,null,null,null,null,null,null
2003-03-03,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2003-03-04,null,null,null,null,null,null
2003-03-05,null,null,null,null,null,null
2003-03-06,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2003-03-07,null,null,null,null,null,null
2003-03-10,null,null,null,null,null,null
2003-03-11,null,null,null,null,null,null
2003-03-12,null,null,null,null,null,null
2003-03-13,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2003-03-14,null,null,null,null,null,null
2003-03-17,0.052240,0.039840,0.039840,0.039840,-0.060213,0
2003-03-18,null,null,null,null,null,null
2003-03-19,0.052240,0.040290,0.040290,0.040290,-0.060893,0
2003-03-20,null,null,null,null,null,null
2003-03-21,null,null,null,null,null,null
2003-03-24,0.052240,0.040730,0.040730,0.040730,-0.061558,0
2003-03-25,null,null,null,null,null,null
2003-03-26,0.052240,0.041170,0.041170,0.041170,-0.062223,0
2003-03-27,null,null,null,null,null,null
2003-03-28,null,null,null,null,null,null
2003-03-31,null,null,null,null,null,null
2003-04-01,null,null,null,null,null,null
2003-04-02,null,null,null,null,null,null
2003-04-03,null,null,null,null,null,null
2003-04-04,null,null,null,null,null,null
2003-04-07,0.052240,0.041620,0.041620,0.041620,-0.062903,0
2003-04-08,null,null,null,null,null,null
2003-04-09,0.041620,0.041620,0.041620,0.041620,-0.062903,0
2003-04-10,0.052240,0.044270,0.044270,0.044270,-0.066908,0
2003-04-11,null,null,null,null,null,null
2003-04-14,0.047810,0.047810,0.047810,0.047810,-0.072258,0
2003-04-15,0.051350,0.051350,0.051350,0.051350,-0.077609,0
2003-04-16,0.051800,0.051800,0.051800,0.051800,-0.078289,0
2003-04-17,0.052240,0.050910,0.050910,0.050910,-0.076944,0
2003-04-21,0.052240,0.049580,0.049580,0.049580,-0.074933,0
2003-04-22,null,null,null,null,null,null
2003-04-23,0.049140,0.049140,0.049140,0.049140,-0.074268,0
2003-04-24,0.052240,0.049140,0.049140,0.049140,-0.074268,0
2003-04-25,null,null,null,null,null,null
2003-04-28,0.049580,0.049580,0.049580,0.049580,-0.074933,0
2003-04-29,0.047810,0.047810,0.047810,0.047810,-0.072258,0
2003-04-30,0.046930,0.046930,0.046930,0.046930,-0.070928,0
2003-05-01,0.052240,0.048700,0.048700,0.048700,-0.073603,0
2003-05-02,null,null,null,null,null,null
2003-05-05,0.046930,0.046930,0.046930,0.046930,-0.070928,0
2003-05-06,0.052240,0.046490,0.046490,0.046490,-0.070263,0
2003-05-07,null,null,null,null,null,null
2003-05-08,null,null,null,null,null,null
2003-05-09,null,null,null,null,null,null
2003-05-12,null,null,null,null,null,null
2003-05-13,0.046490,0.046490,0.046490,0.046490,-0.070263,0
2003-05-14,0.052240,0.047810,0.047810,0.047810,-0.072258,0
2003-05-15,null,null,null,null,null,null
2003-05-16,null,null,null,null,null,null
2003-05-19,0.049140,0.049140,0.049140,0.049140,-0.074268,0
2003-05-20,0.050910,0.050910,0.050910,0.050910,-0.076944,0
2003-05-21,0.052240,0.050910,0.050910,0.050910,-0.076944,0
2003-05-22,null,null,null,null,null,null
2003-05-23,null,null,null,null,null,null
2003-05-27,0.059320,0.059320,0.059320,0.059320,-0.089654,0
2003-05-28,0.056220,0.056220,0.056220,0.056220,-0.084969,0
2003-05-29,0.052240,0.052680,0.052680,0.052680,-0.079619,0
2003-05-30,null,null,null,null,null,null
2003-06-02,null,null,null,null,null,null
2003-06-03,0.052680,0.052680,0.052680,0.052680,-0.079619,0
2003-06-04,0.054010,0.054010,0.054010,0.054010,-0.081629,0
2003-06-05,0.052240,0.054450,0.054450,0.054450,-0.082294,0
2003-06-06,null,null,null,null,null,null
2003-06-09,0.061090,0.061090,0.061090,0.061090,-0.092329,0
2003-06-10,0.062420,0.062420,0.062420,0.062420,-0.094339,0
2003-06-11,0.063750,0.063750,0.063750,0.063750,-0.096350,0
2003-06-12,0.068620,0.068620,0.068620,0.068620,-0.103710,0
2003-06-13,null,null,null,null,null,null
2003-06-16,0.075260,0.075260,0.075260,0.075260,-0.113745,0
2003-06-17,null,null,null,null,null,null
2003-06-18,0.070830,0.070830,0.070830,0.070830,-0.107050,0
2003-06-19,null,null,null,null,null,null
2003-06-20,null,null,null,null,null,null
2003-06-23,0.067290,0.067290,0.067290,0.067290,-0.101700,0
2003-06-24,0.065520,0.065520,0.065520,0.065520,-0.099025,0
2003-06-25,0.070390,0.070390,0.070390,0.070390,-0.106385,0
2003-06-26,0.072610,0.072610,0.072610,0.072610,-0.109740,0
2003-06-27,null,null,null,null,null,null
2003-06-30,0.070830,0.070830,0.070830,0.070830,-0.107050,0
2003-07-01,0.070830,0.070830,0.070830,0.070830,-0.107050,0
2003-07-02,0.070830,0.070830,0.070830,0.070830,-0.107050,0
2003-07-03,0.069950,0.069950,0.069950,0.069950,-0.105720,0
2003-07-07,0.070390,0.070390,0.070390,0.070390,-0.106385,0
2003-07-08,0.070830,0.070830,0.070830,0.070830,-0.107050,0
2003-07-09,0.070830,0.070830,0.070830,0.070830,-0.107050,0
2003-07-10,0.069950,0.069950,0.069950,0.069950,-0.105720,0
2003-07-11,null,null,null,null,null,null
2003-07-14,0.069060,0.069060,0.069060,0.069060,-0.104375,0
2003-07-15,null,null,null,null,null,null
2003-07-16,0.068180,0.068180,0.068180,0.068180,-0.103045,0
2003-07-17,null,null,null,null,null,null
2003-07-18,null,null,null,null,null,null
2003-07-21,null,null,null,null,null,null
2003-07-22,null,null,null,null,null,null
2003-07-23,null,null,null,null,null,null
2003-07-24,null,null,null,null,null,null
2003-07-25,null,null,null,null,null,null
2003-07-28,null,null,null,null,null,null
2003-07-29,null,null,null,null,null,null
2003-07-30,null,null,null,null,null,null
2003-07-31,null,null,null,null,null,null
2003-08-01,null,null,null,null,null,null
2003-08-04,0.072160,0.072160,0.072160,0.072160,-0.109060,0
2003-08-05,0.052240,0.065080,0.065080,0.065080,-0.098360,0
2003-08-06,null,null,null,null,null,null
2003-08-07,null,null,null,null,null,null
2003-08-08,null,null,null,null,null,null
2003-08-11,0.052240,0.065080,0.065080,0.065080,-0.098360,0
2003-08-12,null,null,null,null,null,null
2003-08-13,0.059770,0.059770,0.059770,0.059770,-0.090334,0
2003-08-14,0.063750,0.063750,0.063750,0.063750,-0.096350,0
2003-08-15,null,null,null,null,null,null
2003-08-18,0.064640,0.064640,0.064640,0.064640,-0.097695,0
2003-08-19,0.064640,0.064640,0.064640,0.064640,-0.097695,0
2003-08-20,0.052240,0.064640,0.064640,0.064640,-0.097695,0
2003-08-21,null,null,null,null,null,null
2003-08-22,null,null,null,null,null,null
2003-08-25,0.066410,0.066410,0.066410,0.066410,-0.100370,0
2003-08-26,0.052240,0.066410,0.066410,0.066410,-0.100370,0
2003-08-27,null,null,null,null,null,null
2003-08-28,0.052240,0.066410,0.066410,0.066410,-0.100370,0
2003-08-29,null,null,null,null,null,null
2003-09-02,0.052240,0.065520,0.065520,0.065520,-0.099025,0
2003-09-03,null,null,null,null,null,null
2003-09-04,0.052240,0.065960,0.065960,0.065960,-0.099690,0
2003-09-05,null,null,null,null,null,null
2003-09-08,null,null,null,null,null,null
2003-09-09,0.052240,0.066410,0.066410,0.066410,-0.100370,0
2003-09-10,null,null,null,null,null,null
2003-09-11,0.052240,0.066410,0.066410,0.066410,-0.100370,0
2003-09-12,null,null,null,null,null,null
2003-09-15,null,null,null,null,null,null
2003-09-16,null,null,null,null,null,null
2003-09-17,null,null,null,null,null,null
2003-09-18,null,null,null,null,null,null
2003-09-19,null,null,null,null,null,null
2003-09-22,0.052240,0.065520,0.065520,0.065520,-0.099025,0
2003-09-23,null,null,null,null,null,null
2003-09-24,null,null,null,null,null,null
2003-09-25,null,null,null,null,null,null
2003-09-26,null,null,null,null,null,null
2003-09-29,null,null,null,null,null,null
2003-09-30,null,null,null,null,null,null
2003-10-01,null,null,null,null,null,null
2003-10-02,null,null,null,null,null,null
2003-10-03,null,null,null,null,null,null
2003-10-06,null,null,null,null,null,null
2003-10-07,null,null,null,null,null,null
2003-10-08,null,null,null,null,null,null
2003-10-09,null,null,null,null,null,null
2003-10-10,null,null,null,null,null,null
2003-10-13,0.066410,0.066410,0.066410,0.066410,-0.100370,0
2003-10-14,0.052240,0.066410,0.066410,0.066410,-0.100370,0
2003-10-15,null,null,null,null,null,null
2003-10-16,null,null,null,null,null,null
2003-10-17,null,null,null,null,null,null
2003-10-20,null,null,null,null,null,null
2003-10-21,null,null,null,null,null,null
2003-10-22,null,null,null,null,null,null
2003-10-23,null,null,null,null,null,null
2003-10-24,null,null,null,null,null,null
2003-10-27,null,null,null,null,null,null
2003-10-28,null,null,null,null,null,null
2003-10-29,null,null,null,null,null,null
2003-10-30,null,null,null,null,null,null
2003-10-31,null,null,null,null,null,null
2003-11-03,null,null,null,null,null,null
2003-11-04,null,null,null,null,null,null
2003-11-05,null,null,null,null,null,null
2003-11-06,null,null,null,null,null,null
2003-11-07,null,null,null,null,null,null
2003-11-10,null,null,null,null,null,null
2003-11-11,null,null,null,null,null,null
2003-11-12,null,null,null,null,null,null
2003-11-13,null,null,null,null,null,null
2003-11-14,null,null,null,null,null,null
2003-11-17,null,null,null,null,null,null
2003-11-18,null,null,null,null,null,null
2003-11-19,null,null,null,null,null,null
2003-11-20,null,null,null,null,null,null
2003-11-21,null,null,null,null,null,null
2003-11-24,null,null,null,null,null,null
2003-11-25,null,null,null,null,null,null
2003-11-26,null,null,null,null,null,null
2003-11-28,null,null,null,null,null,null
2003-12-01,null,null,null,null,null,null
2003-12-02,0.052240,0.061980,0.061980,0.061980,-0.093674,0
2003-12-03,null,null,null,null,null,null
2003-12-04,null,null,null,null,null,null
2003-12-05,null,null,null,null,null,null
2003-12-08,null,null,null,null,null,null
2003-12-09,null,null,null,null,null,null
2003-12-10,null,null,null,null,null,null
2003-12-11,null,null,null,null,null,null
2003-12-12,null,null,null,null,null,null
2003-12-15,null,null,null,null,null,null
2003-12-16,null,null,null,null,null,null
2003-12-17,null,null,null,null,null,null
2003-12-18,null,null,null,null,null,null
2003-12-19,null,null,null,null,null,null
2003-12-22,null,null,null,null,null,null
2003-12-23,null,null,null,null,null,null
2003-12-24,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,null,null,null,null,null,null
2003-12-30,null,null,null,null,null,null
2003-12-31,null,null,null,null,null,null
2004-01-02,null,null,null,null,null,null
2004-01-05,null,null,null,null,null,null
2004-01-06,null,null,null,null,null,null
2004-01-07,null,null,null,null,null,null
2004-01-08,null,null,null,null,null,null
2004-01-09,null,null,null,null,null,null
2004-01-12,null,null,null,null,null,null
2004-01-13,null,null,null,null,null,null
2004-01-14,null,null,null,null,null,null
2004-01-15,null,null,null,null,null,null
2004-01-16,null,null,null,null,null,null
2004-01-20,null,null,null,null,null,null
2004-01-21,null,null,null,null,null,null
2004-01-22,null,null,null,null,null,null
2004-01-23,null,null,null,null,null,null
2004-01-26,null,null,null,null,null,null
2004-01-27,null,null,null,null,null,null
2004-01-28,null,null,null,null,null,null
2004-01-29,null,null,null,null,null,null
2004-01-30,null,null,null,null,null,null
2004-02-02,null,null,null,null,null,null
2004-02-03,null,null,null,null,null,null
2004-02-04,null,null,null,null,null,null
2004-02-05,null,null,null,null,null,null
2004-02-06,null,null,null,null,null,null
2004-02-09,null,null,null,null,null,null
2004-02-10,null,null,null,null,null,null
2004-02-11,null,null,null,null,null,null
2004-02-12,null,null,null,null,null,null
2004-02-13,null,null,null,null,null,null
2004-02-17,null,null,null,null,null,null
2004-02-18,null,null,null,null,null,null
2004-02-19,null,null,null,null,null,null
2004-02-20,null,null,null,null,null,null
2004-02-23,null,null,null,null,null,null
2004-02-24,null,null,null,null,null,null
2004-02-25,null,null,null,null,null,null
2004-02-26,null,null,null,null,null,null
2004-02-27,null,null,null,null,null,null
2004-03-01,null,null,null,null,null,null
2004-03-02,null,null,null,null,null,null
2004-03-03,null,null,null,null,null,null
2004-03-04,null,null,null,null,null,null
2004-03-05,null,null,null,null,null,null
2004-03-08,null,null,null,null,null,null
2004-03-09,null,null,null,null,null,null
2004-03-10,null,null,null,null,null,null
2004-03-11,null,null,null,null,null,null
2004-03-12,null,null,null,null,null,null
2004-03-15,null,null,null,null,null,null
2004-03-16,null,null,null,null,null,null
2004-03-17,null,null,null,null,null,null
2004-03-18,null,null,null,null,null,null
2004-03-19,null,null,null,null,null,null
2004-03-22,null,null,null,null,null,null
2004-03-23,null,null,null,null,null,null
2004-03-24,null,null,null,null,null,null
2004-03-25,null,null,null,null,null,null
2004-03-26,null,null,null,null,null,null
2004-03-29,null,null,null,null,null,null
2004-03-30,null,null,null,null,null,null
2004-03-31,null,null,null,null,null,null
2004-04-01,null,null,null,null,null,null
2004-04-02,null,null,null,null,null,null
2004-04-05,null,null,null,null,null,null
2004-04-06,null,null,null,null,null,null
2004-04-07,null,null,null,null,null,null
2004-04-08,null,null,null,null,null,null
2004-04-12,null,null,null,null,null,null
2004-04-13,null,null,null,null,null,null
2004-04-14,null,null,null,null,null,null
2004-04-15,null,null,null,null,null,null
2004-04-16,null,null,null,null,null,null
2004-04-19,null,null,null,null,null,null
2004-04-20,null,null,null,null,null,null
2004-04-21,null,null,null,null,null,null
2004-04-22,null,null,null,null,null,null
2004-04-23,null,null,null,null,null,null
2004-04-26,null,null,null,null,null,null
2004-04-27,null,null,null,null,null,null
2004-04-28,null,null,null,null,null,null
2004-04-29,null,null,null,null,null,null
2004-04-30,null,null,null,null,null,null
2004-05-03,null,null,null,null,null,null
2004-05-04,null,null,null,null,null,null
2004-05-05,null,null,null,null,null,null
2004-05-06,null,null,null,null,null,null
2004-05-07,null,null,null,null,null,null
2004-05-10,null,null,null,null,null,null
2004-05-11,null,null,null,null,null,null
2004-05-12,null,null,null,null,null,null
2004-05-13,null,null,null,null,null,null
2004-05-14,null,null,null,null,null,null
2004-05-17,null,null,null,null,null,null
2004-05-18,null,null,null,null,null,null
2004-05-19,null,null,null,null,null,null
2004-05-20,null,null,null,null,null,null
2004-05-21,null,null,null,null,null,null
2004-05-24,null,null,null,null,null,null
2004-05-25,null,null,null,null,null,null
2004-05-26,null,null,null,null,null,null
2004-05-27,null,null,null,null,null,null
2004-05-28,null,null,null,null,null,null
2004-06-01,null,null,null,null,null,null
2004-06-02,null,null,null,null,null,null
2004-06-03,null,null,null,null,null,null
2004-06-04,null,null,null,null,null,null
2004-06-07,null,null,null,null,null,null
2004-06-08,null,null,null,null,null,null
2004-06-09,null,null,null,null,null,null
2004-06-10,null,null,null,null,null,null
2004-06-14,null,null,null,null,null,null
2004-06-15,null,null,null,null,null,null
2004-06-16,null,null,null,null,null,null
2004-06-17,null,null,null,null,null,null
2004-06-18,null,null,null,null,null,null
2004-06-21,null,null,null,null,null,null
2004-06-22,null,null,null,null,null,null
2004-06-23,null,null,null,null,null,null
2004-06-24,null,null,null,null,null,null
2004-06-25,null,null,null,null,null,null
2004-06-28,null,null,null,null,null,null
2004-06-29,null,null,null,null,null,null
2004-06-30,null,null,null,null,null,null
2004-07-01,null,null,null,null,null,null
2004-07-02,null,null,null,null,null,null
2004-07-06,null,null,null,null,null,null
2004-07-07,null,null,null,null,null,null
2004-07-08,null,null,null,null,null,null
2004-07-09,null,null,null,null,null,null
2004-07-12,null,null,null,null,null,null
2004-07-13,null,null,null,null,null,null
2004-07-14,null,null,null,null,null,null
2004-07-15,null,null,null,null,null,null
2004-07-16,null,null,null,null,null,null
2004-07-19,null,null,null,null,null,null
2004-07-20,null,null,null,null,null,null
2004-07-21,null,null,null,null,null,null
2004-07-22,null,null,null,null,null,null
2004-07-23,null,null,null,null,null,null
2004-07-26,null,null,null,null,null,null
2004-07-27,null,null,null,null,null,null
2004-07-28,null,null,null,null,null,null
2004-07-29,null,null,null,null,null,null
2004-07-30,null,null,null,null,null,null
2004-08-02,null,null,null,null,null,null
2004-08-03,null,null,null,null,null,null
2004-08-04,null,null,null,null,null,null
2004-08-05,null,null,null,null,null,null
2004-08-06,null,null,null,null,null,null
2004-08-09,null,null,null,null,null,null
2004-08-10,null,null,null,null,null,null
2004-08-11,null,null,null,null,null,null
2004-08-12,null,null,null,null,null,null
2004-08-13,null,null,null,null,null,null
2004-08-16,null,null,null,null,null,null
2004-08-17,null,null,null,null,null,null
2004-08-18,null,null,null,null,null,null
2004-08-19,null,null,null,null,null,null
2004-08-20,null,null,null,null,null,null
2004-08-23,null,null,null,null,null,null
2004-08-24,null,null,null,null,null,null
2004-08-25,null,null,null,null,null,null
2004-08-26,null,null,null,null,null,null
2004-08-27,null,null,null,null,null,null
2004-08-30,null,null,null,null,null,null
2004-08-31,null,null,null,null,null,null
2004-09-01,null,null,null,null,null,null
2004-09-02,null,null,null,null,null,null
2004-09-03,null,null,null,null,null,null
2004-09-07,null,null,null,null,null,null
2004-09-08,null,null,null,null,null,null
2004-09-09,null,null,null,null,null,null
2004-09-10,null,null,null,null,null,null
2004-09-13,null,null,null,null,null,null
2004-09-14,null,null,null,null,null,null
2004-09-15,null,null,null,null,null,null
2004-09-16,null,null,null,null,null,null
2004-09-17,null,null,null,null,null,null
2004-09-20,null,null,null,null,null,null
2004-09-21,null,null,null,null,null,null
2004-09-22,null,null,null,null,null,null
2004-09-23,null,null,null,null,null,null
2004-09-24,null,null,null,null,null,null
2004-09-27,null,null,null,null,null,null
2004-09-28,null,null,null,null,null,null
2004-09-29,null,null,null,null,null,null
2004-09-30,null,null,null,null,null,null
2004-10-01,null,null,null,null,null,null
2004-10-04,null,null,null,null,null,null
2004-10-05,null,null,null,null,null,null
2004-10-06,null,null,null,null,null,null
2004-10-07,null,null,null,null,null,null
2004-10-08,null,null,null,null,null,null
2004-10-11,null,null,null,null,null,null
2004-10-12,null,null,null,null,null,null
2004-10-13,null,null,null,null,null,null
2004-10-14,null,null,null,null,null,null
2004-10-15,null,null,null,null,null,null
2004-10-18,null,null,null,null,null,null
2004-10-19,null,null,null,null,null,null
2004-10-20,null,null,null,null,null,null
2004-10-21,null,null,null,null,null,null
2004-10-22,null,null,null,null,null,null
2004-10-25,null,null,null,null,null,null
2004-10-26,null,null,null,null,null,null
2004-10-27,null,null,null,null,null,null
2004-10-28,null,null,null,null,null,null
2004-10-29,null,null,null,null,null,null
2004-11-01,null,null,null,null,null,null
2004-11-02,null,null,null,null,null,null
2004-11-03,null,null,null,null,null,null
